2		92,168	6,856	-1,613	0,005	0,006	0,006	94	1	1
3		179,179	5,439	-1,394	0,005	0,005	0,006	98	1	1
4		262,783	4,455	-1,159	0,005	0,005	0,005	111	1	1
5		348,379	3,285	-0,887	0,005	0,004	0,006	100	1	1
6		432,654	2,480	-0,670	0,005	0,005	0,006	87	1	1
7		516,594	1,296	-0,427	0,005	0,005	0,006	79	1	1
8		599,922	0,379	-0,190	0,005	0,005	0,006	100	1	1
9		685,384	-0,663	0,046	0,006	0,006	0,006	93	1	1
10		7,741	99,708	-1,597	0,005	0,005	0,006	89	1	1
11		93,022	98,824	-1,349	0,004	0,004	0,005	107	1	1
12		179,026	97,706	-1,093	0,004	0,004	0,005	108	1	1
13		263,356	96,888	-0,868	0,004	0,004	0,005	114	1	1
14		349,896	95,790	-0,614	0,003	0,003	0,005	115	1	1
15		433,192	95,095	-0,398	0,004	0,003	0,005	115	1	1
16		519,035	93,172	-0,186	0,004	0,004	0,006	111	1	1
17		601,884	92,448	0,033	0,004	0,004	0,005	115	1	1
18		687,350	91,217	0,237	0,005	0,004	0,006	113	1	1
19		772,133	90,300	0,436	0,006	0,005	0,006	99	1	1
20		8,457	194,392	-1,262	0,005	0,005	0,006	98	1	1
21		93,806	193,639	-0,982	0,004	0,004	0,005	113	1	1
22		179,747	192,208	-0,763	0,003	0,003	0,005	118	1	1
23		264,377	191,259	-0,542	0,003	0,003	0,005	121	1	1
24		350,635	190,169	-0,313	0,003	0,003	0,006	113	1	1
25		435,445	189,149	-0,105	0,003	0,003	0,006	108	1	1
26		519,003	188,248	0,127	0,003	0,003	0,006	111	1	1
27		603,008	186,949	0,286	0,004	0,003	0,006	109	1	1
28		688,536	185,905	0,480	0,004	0,004	0,006	112	1	1
29		773,766	184,939	0,656	0,005	0,004	0,006	106	1	1
30		10,271	287,905	-0,901	0,004	0,004	0,006	103	1	1
31		95,686	286,288	-0,661	0,003	0,003	0,005	112	1	1
32		182,008	285,517	-0,463	0,003	0,003	0,005	121	1	1
33		266,688	284,409	-0,260	0,003	0,003	0,006	105	1	1
34		351,308	284,051	-0,035	0,003	0,003	0,006	91	1	1
35		436,098	283,360	0,160	0,003	0,003	0,007	67	1	1
36		520,112	282,132	0,368	0,003	0,003	0,006	96	1	1
37		604,454	281,430	0,527	0,003	0,003	0,006	103	1	1
38		689,078	280,606	0,703	0,004	0,003	0,006	110	1	1
39		774,297	279,720	0,890	0,005	0,004	0,007	94	1	1
40		10,833	382,509	-0,513	0,005	0,005	0,006	89	1	1
41		96,173	380,654	-0,306	0,004	0,004	0,006	93	1	1
42		182,185	379,392	-0,115	0,003	0,003	0,005	117	1	1
43		268,101	378,770	0,101	0,003	0,003	0,006	115	1	1
44		352,339	377,825	0,280	0,003	0,003	0,006	104	1	1
45		436,598	377,042	0,483	0,003	0,003	0,006	91	1	1
46		521,522	375,505	0,673	0,003	0,003	0,006	108	1	1
47		606,654	374,474	0,822	0,004	0,003	0,006	108	1	1
48		691,417	372,722	0,972	0,004	0,004	0,006	110	1	1
49		775,857	371,415	1,169	0,006	0,005	0,007	81	1	1
50		12,478	475,925	-0,099	0,005	0,005	0,006	95	1	1
51		98,623	474,528	0,077	0,004	0,005	0,006	93	1	1
52		182,686	473,830	0,254	0,004	0,004	0,006	115	1	1
53		269,416	472,216	0,442	0,003	0,004	0,006	111	1	1
54		354,274	471,051	0,626	0,003	0,003	0,006	114	1	1
55		437,930	470,149	0,807	0,004	0,004	0,006	102	1	1
56		522,692	469,425	0,980	0,004	0,004	0,006	102	1	1
57		608,157	468,076	1,139	0,004	0,004	0,006	108	1	1
58		692,309	467,005	1,275	0,005	0,005	0,006	104	1	1
59		777,105	465,462	1,424	0,007	0,006	0,009	64	1	1
60		98,779	571,818	0,445	0,005	0,006	0,006	92	1	1
61		184,342	570,410	0,612	0,005	0,005	0,006	102	1	1
62		271,257	569,352	0,795	0,005	0,005	0,006	89	1	1
63		355,787	568,102	0,950	0,004	0,005	0,006	97	1	1
64		439,133	567,001	1,123	0,005	0,005	0,006	99	1	1
65		524,089	566,072	1,261	0,005	0,005	0,006	91	1	1
66		610,220	564,850	1,405	0,005	0,005	0,006	94	1	1
67		693,461	563,783	1,570	0,006	0,006	0,007	83	1	1
69		392,337	255,502	203,908	0,003	0,003	0,005	111	1	1
70		416,824	297,473	205,646	0,003	0,003	0,005	95	1	1
145		370,426	297,689	205,764	0,025	0,017	0,095	4	1	1
										
