0 1262.8358 1449.644
0 1296.5087 1438.6117
108 1274.7582 1426.4823
0 1252.954 1415.3745
0 1288.1451 1406.4677
35 1109.6498 1268.8297
68 1636.985 1267.8264
0 1725.8925 1267.2711
0 685.90485 1267.4895
37 1992.0503 1265.8824
69 361.8157 1265.9216
0 357.74765 1182.7358
0 1658.8511 1107.3416
0 353.92712 1098.9999
0 1625.069 1095.6925
117 172.60405 1092.9735
0 1604.1752 1090.6334
65 1995.0195 1089.4174
110 1647.7501 1083.3629
0 1567.326 1078.3575
0 1669.5265 1069.9121
109 1593.1046 1066.8274
0 1638.2001 1057.243
0 1618.1337 1048.3722
0 1580.746 1043.6072
0 350.15527 1014.7815
0 761.35895 1008.0034
0 726.1773 994.82404
0 706.4472 984.80597
91 752.6084 982.95703
0 779.22565 973.04047
0 672.0722 964.5081
84 698.96606 957.4373
0 745.4433 956.9822
0 725.21686 946.25244
0 692.8957 929.7885
0 1996.9869 910.6865
0 431.7534 766.1822
0 801.38763 745.7164
0 469.67862 740.1755
136 438.22083 734.41016
0 843.2841 733.22833
0 405.8447 727.9524
122 816.82007 719.2265
0 788.27344 704.9756
0 441.75247 699.6818
0 826.48 688.7854
0 1998.2983 639.1217
0 798.5803 568.2101
0 765.1038 560.9164
0 1957.9049 560.2951
0 1911.6144 559.1672
0 719.8696 550.0038
0 789.40924 537.1595
118 1932.5234 538.19147
76 750.4881 528.059
0 718.9856 523.2861
0 1955.8907 515.8495
0 1914.8802 514.4891
0 785.4299 511.65622
70 331.499 501.787
63 413.20883 498.5023
0 495.5234 495.441
36 920.01825 479.97412
0 1007.2976 477.27914
56 1095.4653 474.4758
0 1543.7452 463.74722
60 1725.2982 460.4801
0 1816.1627 459.1207
